entry_time,exit_time,direction,entry_price,exit_price,exit_reason,quantity,gross_pnl,commission,slippage,net_pnl,balance_after_trade,cumulative_pnl
2025-11-08 07:00:00,2025-11-09 18:49:00,long,102215.63,104259.94260000001,take_profit,0.009783239608267345,20.000000000000046,1.01,0.404,18.586000000000045,10018.586,18.586000000000045
2025-11-09 20:00:00,2025-11-10 00:36:00,short,104805.57,105853.6257,stop_loss,0.009559211404508368,-10.018585999999972,1.0068678930000001,0.40274715720000004,-11.428201050199974,10007.1577989498,7.157798949800071
2025-11-10 11:00:00,2025-11-11 01:19:00,short,105995.26,107055.2126,stop_loss,0.009441137083818467,-10.00715779894984,1.005719358794455,0.402287743517782,-11.415164901262077,9995.742634048538,-4.257365951462006
2025-11-11 11:00:00,2025-11-11 17:37:00,short,105176.39,103072.8622,take_profit,0.009503789428453037,19.99148526809704,0.9895785207708052,0.3958314083083221,18.606075339017913,10014.348709387556,14.348709387555907
2025-11-11 18:00:00,2025-11-12 09:08:00,short,103338.99,104372.3799,stop_loss,0.009690774710869108,-10.014348709387505,1.0064420452934495,0.4025768181173798,-11.423367572798334,10002.925341814756,2.925341814757573
2025-11-13 02:00:00,2025-11-13 05:54:00,short,102006.99,103027.05990000001,stop_loss,0.009806117543331841,-10.002925341814779,1.005293996852383,0.40211759874095326,-11.410336937408115,9991.515004877348,-8.484995122650542
2025-11-13 10:00:00,2025-11-13 14:37:00,long,102827.0,101798.73,stop_loss,0.009716820489635358,-9.991515004877389,0.9941557429852963,0.3976622971941185,-11.383333045056803,9980.131671832292,-19.868328167707347
2025-11-15 04:00:00,2025-11-15 20:43:00,long,96417.12,95452.9488,stop_loss,0.010350995416407681,-9.980131671832263,0.9930231013473132,0.39720924053892526,-11.370364013718502,9968.761307818573,-31.238692181425847
2025-11-15 22:00:00,2025-11-16 16:18:00,long,95280.0,94327.2,stop_loss,0.010462595831043843,-9.968761307818603,0.9918917501279481,0.39675670005117925,-11.357409757997731,9957.403898060575,-42.596101939423576
2025-11-22 02:00:00,2025-11-23 01:53:00,short,85174.28,86026.0228,stop_loss,0.011690622918163293,-9.95740389806066,1.0007190917550877,0.4002876367020351,-11.358410626517783,9946.045487434058,-53.95451256594136
2025-11-23 09:00:00,2025-11-23 21:53:00,long,86137.18,87859.9236,take_profit,0.0115467507613252,19.892090974868136,1.00455059423084,0.40182023769233594,18.48572014294496,9964.531207577003,-35.4687924229964
