direction,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,commission,slippage,net_pnl,exit_reason,balance_after_trade,exchange,symbol,cumulative_pnl
short,2026-07-01 07:45:00,2026-07-01 09:45:00,58689.7,58934.0,0.017038764894010364,-4.162570263606781,1.0020812851318035,0.40083251405272136,-5.565484062791306,reversal,9994.434515937208,binance,btc,-5.565484062792166
long,2026-07-01 09:45:00,2026-07-01 10:45:00,58883.75,58664.95,0.01697316240208412,-3.7137279335760547,0.9975865876269328,0.3990346350507731,-5.11034915625376,reversal,9989.324166780954,binance,btc,-10.675833219045671
short,2026-07-01 10:45:00,2026-07-01 13:46:00,58624.01,59210.250100000005,0.01703964666828652,-9.989324166781001,1.003927078761486,0.4015708315045945,-11.394822077047081,stop_loss,9977.929344703907,binance,btc,-22.07065529609281
long,2026-07-01 14:15:00,2026-07-01 22:21:00,59978.0,61177.56,0.01663598210127698,19.955858689407776,1.0077708638150946,0.40310834552603786,18.544979480066644,take_profit,9996.474324183973,binance,btc,-3.5256758160267054
short,2026-07-02 00:30:00,2026-07-02 02:37:00,59780.55,60378.355500000005,0.016721951076368438,-9.996474324184009,1.0046456695804893,0.40185826783219575,-11.402978261596694,stop_loss,9985.071345922377,binance,btc,-14.928654077622923
long,2026-07-02 03:00:00,2026-07-02 07:30:00,60423.11,60136.02,0.01652525225186585,-4.744234668988229,0.9961350172577438,0.3984540069030975,-6.13882369314907,reversal,9978.932522229228,binance,btc,-21.067477770771802
short,2026-07-02 07:30:00,2026-07-02 09:31:00,60165.01,60766.6601,0.01658594010410574,-9.97893252222921,1.0028827184840374,0.401153087393615,-11.382968328106863,stop_loss,9967.54955390112,binance,btc,-32.45044609887918
long,2026-07-02 09:45:00,2026-07-02 20:30:00,61090.0,61391.08,0.016316172129482928,4.912473104744748,0.9992111919424844,0.3996844767769938,3.51357743602527,reversal,9971.063131337147,binance,btc,-28.936868662853158
short,2026-07-02 20:30:00,2026-07-03 02:00:00,61402.0,61608.01,0.01623898754330013,-3.345393823795293,0.9987790100456123,0.3995116040182449,-4.74368443785915,reversal,9966.319446899288,binance,btc,-33.68055310071213
long,2026-07-03 02:00:00,2026-07-03 02:45:00,61588.0,61345.99,0.016182242396082496,-3.916264482275958,0.9946738124487908,0.39786952497951633,-5.308807819704265,reversal,9961.010639079585,binance,btc,-38.98936092041549
short,2026-07-03 02:45:00,2026-07-03 05:45:00,61363.84,61672.0,0.016232704209970538,-5.002270129344578,0.9986021989726307,0.3994408795890523,-6.400313207906261,reversal,9954.610325871678,binance,btc,-45.38967412832244
long,2026-07-03 05:45:00,2026-07-03 21:13:00,61698.58,62932.551600000006,0.01613426164082168,19.909220651743425,1.0054156429130394,0.4021662571652158,18.50163875166517,take_profit,9973.111964623342,binance,btc,-26.88803537665808
short,2026-07-04 02:45:00,2026-07-04 04:00:00,62493.99,62638.46,0.015958513714076094,-2.305526476272592,0.9984639597004705,0.39938558388018824,-3.703376019853251,reversal,9969.408588603488,binance,btc,-30.59141139651183
long,2026-07-04 04:00:00,2026-07-04 06:15:00,62627.28,62444.08,0.01591863575841628,-2.9162940709418166,0.9954827118248779,0.3981930847299512,-4.309969867496646,reversal,9965.098618735992,binance,btc,-34.901381264007796
short,2026-07-04 06:15:00,2026-07-04 09:00:00,62434.01,62540.01,0.01596101006284234,-1.691867066661288,0.99735579540693,0.39894231816277204,-3.08816518023099,reversal,9962.010453555762,binance,btc,-37.98954644423793
long,2026-07-04 09:00:00,2026-07-04 09:30:00,62553.78,62482.49,0.015925513140142393,-1.1353298317607652,0.995633380439696,0.39825335217587843,-2.5292165643763393,reversal,9959.481236991385,binance,btc,-40.51876300861477
short,2026-07-04 09:30:00,2026-07-04 12:45:00,62477.04,62624.9,0.015941026074524956,-2.3570401153792693,0.9971266437568284,0.3988506575027314,-3.753017416638829,reversal,9955.728219574747,binance,btc,-44.27178042525338
long,2026-07-04 12:45:00,2026-07-05 00:15:00,62621.99,63053.99,0.015898134536406056,6.867994119727416,0.9990068190173383,0.3996027276069354,5.4693845731031425,reversal,9961.19760414785,binance,btc,-38.80239585214986
short,2026-07-05 00:15:00,2026-07-05 08:15:00,63060.0,63018.85,0.015796380596491993,0.6500210615456685,0.9957947498840123,0.39831789995360495,-0.7440915882919488,reversal,9960.453512559558,binance,btc,-39.546487440442434
long,2026-07-05 08:15:00,2026-07-05 10:00:00,63014.01,62580.01,0.015806728555379283,-6.860120193034609,0.9926152911594386,0.3970461164637754,-8.249781600657823,reversal,9952.2037309589,binance,btc,-47.79626904110046
short,2026-07-05 10:00:00,2026-07-05 15:15:00,62622.18,62781.99,0.015892458121002654,-2.5397737323173972,0.9964902599620487,0.3985961039848195,-3.9348600962642655,reversal,9948.268870862636,binance,btc,-51.731129137364405
long,2026-07-05 15:15:00,2026-07-05 16:30:00,62807.87,62620.0,0.01583920752425235,-2.9757119175813305,0.9933390311274729,0.39733561245098914,-4.366386561159793,reversal,9943.902484301476,binance,btc,-56.09751569852415
short,2026-07-05 16:30:00,2026-07-05 19:15:00,62618.0,62880.01,0.01588026204015056,-4.160787457139881,0.9964706421587177,0.3985882568634871,-5.555846356162085,reversal,9938.346637945313,binance,btc,-61.65336205468702
long,2026-07-05 19:15:00,2026-07-06 04:00:00,62840.81,63296.66,0.01581511542888342,7.2093203682565985,0.9974393239786598,0.39897572959146393,5.812905314686475,reversal,9944.159543259999,binance,btc,-55.84045674000117
short,2026-07-06 04:00:00,2026-07-06 12:03:00,63294.0,62028.119999999995,0.015711061938351183,19.88831908652007,0.9844717947827398,0.3937887179130959,18.510058573824235,take_profit,9962.669601833823,binance,btc,-37.330398166177474
long,2026-07-06 16:15:00,2026-07-07 02:30:00,63749.22,63534.73,0.01562790823453812,-3.35203003722605,0.9945909451647692,0.39783637806590777,-4.744457360456726,reversal,9957.925144473365,binance,btc,-42.074855526634565
short,2026-07-07 02:30:00,2026-07-07 10:45:00,63570.01,63270.0,0.01566450145984461,4.6995070829680134,0.9934427609058525,0.397377104362341,3.30868721769982,reversal,9961.233831691065,binance,btc,-38.76616830893545
long,2026-07-07 10:45:00,2026-07-07 11:30:00,63280.0,63180.0,0.015741519961585123,-1.5741519961585122,0.9953363071710273,0.39813452286841094,-2.9676228261979505,reversal,9958.266208864867,binance,btc,-41.73379113513329
short,2026-07-07 11:30:00,2026-07-07 12:12:00,63178.77,63810.5577,0.01576204508075239,-9.95826620886488,1.000805753990919,0.4003223015963676,-11.359394264452167,stop_loss,9946.906814600414,binance,btc,-53.09318539958622
long,2026-07-07 12:15:00,2026-07-07 13:24:00,63813.99,63175.850099999996,0.01558734505490162,-9.946906814600444,0.9897172280527413,0.39588689122109655,-11.332510933874282,stop_loss,9935.574303666539,binance,btc,-64.42569633346102
short,2026-07-07 14:15:00,2026-07-07 14:58:00,62978.01,63607.790100000006,0.015776259528788764,-9.935574303666597,0.9985252175184874,0.399410087007395,-11.333509608192479,stop_loss,9924.240794058347,binance,btc,-75.75920594165291
